2021-09-14 15:08:48.210 [main] INFO  com.javacgo.remote.qty.VxdeskserverApplication - Starting VxdeskserverApplication using Java 1.8.0_271 on qytdesk with PID 10844 (C:\Users\zxl\Desktop\QdServer\target\classes started by zxl in C:\Users\zxl\Desktop\QdServer)
2021-09-14 15:08:48.222 [main] INFO  com.javacgo.remote.qty.VxdeskserverApplication - The following profiles are active: dev
2021-09-14 15:08:49.316 [main] INFO  c.j.remote.qty.dispatcher.MessageHandlerContainer - [afterPropertiesSet][消息处理器数量：1]
2021-09-14 15:08:49.823 [main] INFO  com.javacgo.remote.qty.server.NettyServer - [start][Netty Server 启动在 443 端口]
2021-09-14 15:08:49.960 [main] INFO  com.javacgo.remote.qty.VxdeskserverApplication - Started VxdeskserverApplication in 2.724 seconds (JVM running for 5.302)
2021-09-14 15:09:58.847 [pool-2-thread-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:09:58.847 [pool-2-thread-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:09:58.847 [pool-2-thread-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:10:08.850 [nioEventLoopGroup-3-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62250--超时时间--读写空闲
2021-09-14 15:10:08.850 [nioEventLoopGroup-3-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:08.850 [nioEventLoopGroup-3-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:10:08.850 [nioEventLoopGroup-3-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:10.351 [nioEventLoopGroup-3-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62251--超时时间--读写空闲
2021-09-14 15:10:10.351 [nioEventLoopGroup-3-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:10.351 [nioEventLoopGroup-3-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:10:10.351 [nioEventLoopGroup-3-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:13.900 [pool-2-thread-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:10:13.900 [pool-2-thread-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:10:15.369 [pool-2-thread-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:10:23.918 [nioEventLoopGroup-3-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62254--超时时间--读写空闲
2021-09-14 15:10:23.918 [nioEventLoopGroup-3-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:23.918 [nioEventLoopGroup-3-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:10:23.918 [nioEventLoopGroup-3-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:25.388 [nioEventLoopGroup-3-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62256--超时时间--读写空闲
2021-09-14 15:10:25.388 [nioEventLoopGroup-3-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:25.388 [nioEventLoopGroup-3-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:10:25.388 [nioEventLoopGroup-3-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:28.921 [pool-2-thread-6] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:10:28.936 [pool-2-thread-6] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:10:30.390 [pool-2-thread-7] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:10:38.939 [nioEventLoopGroup-3-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62257--超时时间--读写空闲
2021-09-14 15:10:38.939 [nioEventLoopGroup-3-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:38.939 [nioEventLoopGroup-3-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:10:38.939 [nioEventLoopGroup-3-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:40.408 [nioEventLoopGroup-3-6] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62258--超时时间--读写空闲
2021-09-14 15:10:40.408 [nioEventLoopGroup-3-6] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:40.408 [nioEventLoopGroup-3-6] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:10:40.408 [nioEventLoopGroup-3-6] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:43.956 [pool-2-thread-8] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:10:43.956 [pool-2-thread-8] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:10:45.410 [pool-2-thread-9] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:10:53.974 [nioEventLoopGroup-3-7] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62260--超时时间--读写空闲
2021-09-14 15:10:53.974 [nioEventLoopGroup-3-7] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:53.974 [nioEventLoopGroup-3-7] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:10:53.974 [nioEventLoopGroup-3-7] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:55.428 [nioEventLoopGroup-3-8] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62261--超时时间--读写空闲
2021-09-14 15:10:55.428 [nioEventLoopGroup-3-8] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:55.428 [nioEventLoopGroup-3-8] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:10:55.428 [nioEventLoopGroup-3-8] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:10:58.991 [pool-2-thread-10] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:10:58.991 [pool-2-thread-10] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:11:00.429 [pool-2-thread-11] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:11:01.977 [nioEventLoopGroup-3-9] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:11:01.977 [nioEventLoopGroup-3-10] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:11:01.977 [nioEventLoopGroup-3-9] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:11:01.977 [nioEventLoopGroup-3-10] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:12:51.778 [main] INFO  com.javacgo.remote.qty.VxdeskserverApplication - Starting VxdeskserverApplication using Java 1.8.0_271 on qytdesk with PID 1736 (C:\Users\zxl\Desktop\QdServer\target\classes started by zxl in C:\Users\zxl\Desktop\QdServer)
2021-09-14 15:12:51.794 [main] INFO  com.javacgo.remote.qty.VxdeskserverApplication - The following profiles are active: dev
2021-09-14 15:12:52.575 [main] INFO  c.j.remote.qty.dispatcher.MessageHandlerContainer - [afterPropertiesSet][消息处理器数量：1]
2021-09-14 15:12:52.919 [main] INFO  com.javacgo.remote.qty.server.NettyServer - [start][Netty Server 启动在 443 端口]
2021-09-14 15:12:53.044 [main] INFO  com.javacgo.remote.qty.VxdeskserverApplication - Started VxdeskserverApplication in 2.162 seconds (JVM running for 3.264)
2021-09-14 15:12:57.077 [pool-2-thread-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:12:57.077 [pool-2-thread-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:12:57.078 [pool-2-thread-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:13:07.087 [nioEventLoopGroup-3-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62348--超时时间--读写空闲
2021-09-14 15:13:07.087 [nioEventLoopGroup-3-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62347--超时时间--读写空闲
2021-09-14 15:13:07.087 [nioEventLoopGroup-3-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:13:07.087 [nioEventLoopGroup-3-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:13:07.087 [nioEventLoopGroup-3-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:13:07.087 [nioEventLoopGroup-3-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:13:07.087 [nioEventLoopGroup-3-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:13:07.087 [nioEventLoopGroup-3-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:13:12.129 [pool-2-thread-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:13:12.129 [pool-2-thread-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:13:12.129 [pool-2-thread-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:13:22.132 [nioEventLoopGroup-3-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62349--超时时间--读写空闲
2021-09-14 15:13:22.132 [nioEventLoopGroup-3-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /0:0:0:0:0:0:0:1:62350--超时时间--读写空闲
2021-09-14 15:13:22.132 [nioEventLoopGroup-3-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:13:22.132 [nioEventLoopGroup-3-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:13:22.132 [nioEventLoopGroup-3-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:13:22.132 [nioEventLoopGroup-3-3] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:13:22.132 [nioEventLoopGroup-3-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:13:22.132 [nioEventLoopGroup-3-4] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:13:27.135 [pool-2-thread-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:13:27.135 [pool-2-thread-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:13:27.181 [pool-2-thread-6] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:13:33.964 [nioEventLoopGroup-3-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:13:33.964 [nioEventLoopGroup-3-5] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:13:33.964 [nioEventLoopGroup-3-6] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:13:33.964 [nioEventLoopGroup-3-6] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
2021-09-14 15:15:20.442 [main] INFO  com.javacgo.remote.qty.VxdeskserverApplication - Starting VxdeskserverApplication using Java 1.8.0_271 on qytdesk with PID 3388 (C:\Users\zxl\Desktop\QdServer\target\classes started by zxl in C:\Users\zxl\Desktop\QdServer)
2021-09-14 15:15:20.442 [main] INFO  com.javacgo.remote.qty.VxdeskserverApplication - The following profiles are active: dev
2021-09-14 15:15:21.177 [main] INFO  c.j.remote.qty.dispatcher.MessageHandlerContainer - [afterPropertiesSet][消息处理器数量：1]
2021-09-14 15:15:21.489 [main] INFO  com.javacgo.remote.qty.server.NettyServer - [start][Netty Server 启动在 443 端口]
2021-09-14 15:15:21.614 [main] INFO  com.javacgo.remote.qty.VxdeskserverApplication - Started VxdeskserverApplication in 1.945 seconds (JVM running for 3.156)
2021-09-14 15:15:21.614 [pool-2-thread-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][主控连接 GrmtjEHeiXjENqnopFnVdw== 登录]
2021-09-14 15:15:21.614 [pool-2-thread-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [add][被控连接 GrmtjEHei 登录]
2021-09-14 15:15:21.614 [pool-2-thread-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [被控设备] 在线人数 ：[1]
2021-09-14 15:15:31.633 [nioEventLoopGroup-3-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /127.0.0.1:62522--超时时间--读写空闲
2021-09-14 15:15:31.633 [nioEventLoopGroup-3-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - /127.0.0.1:62523--超时时间--读写空闲
2021-09-14 15:15:31.633 [nioEventLoopGroup-3-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:15:31.633 [nioEventLoopGroup-3-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - ====================remove======================
2021-09-14 15:15:31.633 [nioEventLoopGroup-3-1] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHei)离开]
2021-09-14 15:15:31.633 [nioEventLoopGroup-3-2] INFO  c.j.remote.qty.server.handler.NettyChannelManager - [remove][一个连接(GrmtjEHeiXjENqnopFnVdw==)离开]
